Mot;Occurrence;Mot_nettoye;Cluster
laissé;146;laisser;0
plusieurs;122;;0
messages;11;message;0
entrez;23;entrer;0
caribou;2;caribou;0
nord;29;nord;0
émigre;2;émigre;0
ray;65;ray;0
chéri;34;chéri;0
visite;32;visite;0
retrouvé;81;retrouver;0
papa;187;papa;0
appelle;235;appeler;0
temperance;126;temperance;0
venue;74;venir;0
poser;82;poser;0
quelques;375;;0
questions;166;question;0
disapru;2;disapru;0
jeudi;27;jeudi;0
pensions;8;pension;0
disparu;209;disparu;0
parti;130;parti;0
voyage;52;voyage;0
affaires;127;affaire;0
semaine;106;semaine;0
oublie;26;oublier;0
jamais;891;jamais;0
rappeler;21;rappeler;0
habitude;100;habitude;0
dû;432;devoir;0
tant;227;;0
forme;109;forme;0
bénigne;4;bénigne;0
signer;23;signer;0
plâtre;21;plâtre;0
chercher;179;chercher;0
stylo;26;stylo;0
emprunter;11;emprunter;0
photo;137;photo;0
calotte;3;calott;0
crânienne;11;crânien;0
décomposée;7;décomposée;0
avant;787;;0
eu;530;;0
finir;47;finir;0
mettre;176;mettre;0
visage;161;visage;0
toute;248;;0
façon;274;;0
crois;391;croi;0
obtiendra;7;obtenir;0
correspondance;39;correspondance;0
peu;679;;0
homme;621;homme;0
mère;367;mèr;0
fille;439;fille;0
maryland;25;maryland;0
fils;323;fils;0
virginie;59;virginie;0
mien;44;;0
turner;15;turner;0
ans;788;an;0
électricien;22;électricien;0
commercial;15;commercial;0
vies;39;vie;0
jenny;35;jenny;0
prenne;11;prendre;0
ses;728;;0
médicaments;34;médicament;0
maman;82;maman;0
reverra;2;revoir;0
demain;71;demain;0
matin;105;matin;0
betty;4;betty;0
six;132;;0
demi;53;demi;0
lien;66;lien;0
spécial;90;spécial;0
courant;104;courant;0
senti;18;sentir;0
coupable;58;coupable;0
cause;382;cause;0
parlé;188;parlé;0
conflit;14;conflit;0
lieu;106;lieu;0
travail;378;travail;0
aime;409;aimer;0
drôle;67;drôle;0
intelligent;51;intelligent;0
travaille;164;travailler;0
dur;127;dur;0
déplacement;8;déplacemer;0
